Company ISIN,Company Name,Review Data,country_code
US3364331070,1st Solar,US3364331070.xlsx,US
CNE1000010N2,37 Interactive,CNE1000010N2.xlsx,CN
US88579Y1010,3M do Brasil,US88579Y1010.xlsx,US
GB00B1YW4409,3i Group,GB00B1YW4409.xlsx,GB
US0378331005,A is for Apple,US0378331005.xlsx,US
KYG2953R1149,AAC,KYG2953R1149.xlsx,KY
CH0012221716,ABB,CH0012221716.xlsx,CH
INE117A01022,ABB,INE117A01022.xlsx,IN
NL0011540547,ABN AMRO,NL0011540547.xlsx,NL
CNE100004ZD8,ACM Research,CNE100004ZD8.xlsx,CN
AEA006101017,ADCO,AEA006101017.xlsx,AE
SA55SG6H5716,ADES International Holding,SA55SG6H5716.xlsx,SA
AEA007301012,ADNOC Group,AEA007301012.xlsx,AE
AEE01195A234,ADNOC Group,AEE01195A234.xlsx,AE
JP3388200002,AEON,JP3388200002.xlsx,JP
JP3112000009,AGC,JP3112000009.xlsx,JP
HK0000069689,AIA Group,HK0000069689.xlsx,HK
IE00BF0L3536,AIB Merchant Services,IE00BF0L3536.xlsx,IE
TH0268010Z03,AIS,TH0268010Z03.xlsx,TH
JP3102000001,AISIN Group,JP3102000001.xlsx,JP
FR0010220475,ALSTOM,FR0010220475.xlsx,FR
US0079031078,AMD,US0079031078.xlsx,US
US0311001004,AMETEK Programmable Power,US0311001004.xlsx,US
US02665T3068,AMH,US02665T3068.xlsx,US
KYG040111059,ANTA,KYG040111059.xlsx,KY
AU000000ANZ3,ANZ,AU000000ANZ3.xlsx,AU
AU000000APA1,APA,AU000000APA1.xlsx,AU
CNE100004C45,APT Research,CNE100004C45.xlsx,CN
CA00208D4084,ARC Resources,CA00208D4084.xlsx,CA
TW0003711008,ASE Global,TW0003711008.xlsx,TW
JP3118000003,ASICS,JP3118000003.xlsx,JP
NL0000334118,ASM,NL0000334118.xlsx,NL
NL0010273215,ASML,NL0010273215.xlsx,NL
TW0002357001,ASUS,TW0002357001.xlsx,TW
AU000000ASX7,ASX,AU000000ASX7.xlsx,AU
US00206R1023,AT&T,US00206R1023.xlsx,US
INE949L01017,AU Small Finance Bank,INE949L01017.xlsx,IN
TW0002409000,AUO Crystal,TW0002409000.xlsx,TW
FR0000120628,AXA,FR0000120628.xlsx,FR
US00287Y1091,AbbVie,US00287Y1091.xlsx,US
US0028241000,Abbott,US0028241000.xlsx,US
ZAE000255915,Absa,ZAE000255915.xlsx,ZA
AEA000801018,Abu Dhabi Islamic Bank,AEA000801018.xlsx,AE
CNE100000F87,Accelink Technologies,CNE100000F87.xlsx,CN
IE00B4BNMY34,Accenture,IE00B4BNMY34.xlsx,IE
ES0125220311,Acciona,ES0125220311.xlsx,ES
FR0000120404,Accor,FR0000120404.xlsx,FR
TW0002345006,Accton Technology,TW0002345006.xlsx,TW
TW0002353000,Acer Group,TW0002353000.xlsx,TW
SA15CGS10H12,Acwa Power,SA15CGS10H12.xlsx,SA
INE423A01024,Adani Infra,INE423A01024.xlsx,IN
INE742F01042,Adani Ports and Special Economic Zone Limited (APSEZ),INE742F01042.xlsx,IN
INE814H01011,Adani Power,INE814H01011.xlsx,IN
SE0014781795,Addtech,SE0014781795.xlsx,SE
