company_ISIN,name,headquarters,size,year_founded,ownership_type,industry,sector,revenue
AEA000801018,Abu Dhabi Islamic Bank,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEA002001013,Aldar Holding,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEA006101017,ADCO,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEA007301012,ADNOC Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AED000201015,Dubai Islamic Bank,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEE000301011,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEE000401019,Etisalat,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEE000801010,Emirates NBD,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEE001901017,Emaar Properties,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEE01135A222,Americana Restaurants,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEE01195A234,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AEN000101016,First Abu Dhabi Bank,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AN8068571086,Schlumberger (Germany),Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AT0000652011,Erste Group,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AT0000743059,OMV,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AT0000746409,Verbund,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000ALL7,Aristocrat,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000ANZ3,ANZ,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000APA1,APA,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000ASX7,ASX,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000BHP4,BHP,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000BSL0,BlueScope,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
AU000000BXB1,Brambles Café,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown
