rating_id,company_ISIN,business_outlook,ceo,compensation_benefits,culture_values,diversity_inclusion,review_number,overall,recommend_friend,senior_management
1,AEA000801018,0.58,0.5,3.23,3.48,3.82,28,3.39,0.75,3.14
2,AEA002001013,0.67,0.78,3.33,3.33,3.58,13,3.0,0.5,2.58
3,AEA006101017,0.75,0.5,3.75,3.67,2.67,10,3.3,0.8,3.33
4,AEA007301012,0.96,0.98,4.11,4.04,4.02,132,4.14,0.88,3.96
5,AED000201015,0.89,0.75,3.79,3.33,3.54,35,3.6,0.7,3.33
6,AEE000301011,0.81,0.77,3.56,3.24,3.4,78,3.71,0.46,3.21
7,AEE000401019,0.88,0.85,3.18,3.35,3.48,222,3.59,0.67,3.16
8,AEE000801010,0.84,0.7,3.49,3.35,3.41,124,3.61,0.62,3.11
9,AEE001901017,0.81,0.77,3.56,3.24,3.4,78,3.71,0.46,3.21
10,AEE01135A222,0.41,0.78,2.67,2.12,2.56,27,2.78,0.3,2.64
11,AEE01195A234,0.96,0.98,4.11,4.04,4.02,132,4.14,0.88,3.96
12,AEN000101016,0.76,0.78,3.43,3.08,3.49,53,3.58,0.6,3.05
13,AN8068571086,1.0,0.78,4.2,4.2,3.8,8,4.25,1.0,3.8
14,AT0000652011,0.91,0.96,3.91,4.41,4.31,75,4.43,0.93,4.12
15,AT0000743059,0.83,0.73,3.61,3.42,3.89,49,3.86,0.67,3.42
16,AT0000746409,1.0,1.0,4.29,4.43,4.14,8,4.62,1.0,4.0
17,AU000000ALL7,0.74,0.79,3.45,3.72,4.09,156,3.67,0.67,3.34
18,AU000000ANZ3,0.79,0.82,3.61,3.88,4.08,782,3.88,0.79,3.44
19,AU000000APA1,0.83,0.82,3.43,3.27,3.47,52,3.44,0.62,3.09
20,AU000000ASX7,0.47,0.67,3.12,2.96,3.77,32,3.12,0.48,2.85
21,AU000000BHP4,0.78,0.82,4.04,3.7,3.94,376,4.03,0.77,3.32
22,AU000000BSL0,0.65,0.74,3.58,3.52,3.67,78,3.69,0.66,3.06
23,AU000000BXB1,1.0,0.78,1.67,2.33,3.67,4,2.75,1.0,2.67
24,AU000000CAR3,0.5,0.5,2.6,2.6,3.4,5,2.6,0.4,2.6
25,AU000000CBA7,0.85,0.88,3.82,3.87,4.12,1273,3.93,0.81,3.52
26,AU000000COH5,0.89,0.82,3.63,3.73,3.83,92,3.8,0.82,3.31
27,AU000000CPU5,0.61,0.63,3.1,3.4,3.76,322,3.37,0.53,3.09
28,AU000000CSL8,0.76,0.75,3.78,3.55,3.74,150,3.6,0.67,3.27
29,AU000000EVN4,0.64,0.9,3.47,3.27,3.73,21,3.57,0.69,2.73
30,AU000000FMG4,0.59,0.59,3.79,3.31,3.4,112,3.55,0.59,2.91
31,AU000000GMG2,1.0,1.0,3.92,3.92,3.77,15,4.0,0.83,3.62
32,AU000000IAG3,0.5,0.78,3.17,3.67,4.0,0,3.33,0.67,3.33
33,AU000000MPL3,0.65,0.79,3.25,3.43,4.0,64,3.52,0.6,3.29
34,AU000000MQG1,0.67,0.82,3.48,3.24,3.24,22,3.27,0.52,2.81
35,AU000000NAB4,0.77,0.78,3.53,3.59,3.88,811,3.65,0.71,3.22
36,AU000000NST8,0.85,0.73,3.43,3.09,3.65,27,3.44,0.71,3.09
37,AU000000ORG5,0.7,0.9,3.66,3.59,3.97,127,3.62,0.65,3.24
38,AU000000PME8,1.0,0.78,4.0,3.67,4.33,0,3.33,0.67,3.67
39,AU000000QAN2,0.78,0.43,3.58,3.52,3.87,162,3.7,0.71,3.06
40,AU000000QBE9,0.74,0.85,3.7,3.81,4.05,233,3.82,0.72,3.43
41,AU000000REA9,0.92,0.94,4.2,4.56,4.5,68,4.35,0.91,4.02
42,AU000000REH4,0.62,0.69,3.01,3.4,3.65,87,3.43,0.58,2.97
43,AU000000RIO1,0.75,0.78,3.59,3.53,3.66,1,5.0,0.68,3.31
44,AU000000S320,0.72,0.74,3.59,3.54,3.7,44,3.82,0.76,3.38
45,AU000000SCG8,0.68,0.81,3.29,3.72,4.09,85,3.64,0.66,3.17
46,AU000000SGP0,0.74,0.72,2.9,3.48,3.75,58,3.38,0.6,2.96
47,AU000000SHL7,0.65,0.67,3.0,3.42,3.85,47,3.57,0.54,3.1
48,AU000000SIG5,0.33,1.0,3.14,2.43,3.57,8,3.0,0.33,2.57
49,AU000000SOL3,1.0,0.78,3.0,3.0,2.0,1,3.0,1.0,3.0
50,AU000000STO6,0.62,0.65,3.51,3.14,3.32,90,3.51,0.59,2.87
