company_isin,business_outlook_rating,ceo_rating,compensation_benefits_rating,culture_values_rating,diversity_inclusion_rating,number_of_reviews,overall_rating,recommend_friend_rating,senior_management_rating
AEA000801018,0.583,,3.227,3.476,3.818,28,3.393,0.75,3.143
AEA002001013,0.667,,3.333,3.333,3.583,13,3.0,0.5,2.583
AEA006101017,0.75,,3.75,3.667,2.667,10,3.3,0.8,3.333
AEA007301012,0.963,0.975308641975309,4.106,4.039,4.019,132,4.136,0.884,3.961
AED000201015,0.895,0.75,3.792,3.333,3.542,35,3.6,0.696,3.333
AEE000301011,0.814,0.771428571428571,3.557,3.243,3.4,78,3.705,0.462,3.214
AEE000401019,0.878,0.852941176470588,3.181,3.354,3.482,222,3.586,0.67,3.159
AEE000801010,0.837,,3.495,3.355,3.407,124,3.613,0.622,3.109
AEE001901017,0.814,0.771428571428571,3.557,3.243,3.4,78,3.705,0.462,3.214
AEE01135A222,0.412,,2.667,2.12,2.56,27,2.778,0.3,2.64
AEE01195A234,0.963,0.975308641975309,4.106,4.039,4.019,132,4.136,0.884,3.961
AEN000101016,0.762,,3.432,3.081,3.486,53,3.585,0.6,3.054
AN8068571086,1.0,,4.2,4.2,3.8,8,4.25,1.0,3.8
AT0000652011,0.909,0.956521739130435,3.907,4.407,4.315,75,4.427,0.933,4.115
AT0000743059,0.833,0.733333333333333,3.605,3.421,3.895,49,3.857,0.667,3.421
AT0000746409,1.0,1.0,4.286,4.429,4.143,8,4.625,1.0,4.0
AU000000ALL7,0.738,0.790697674418605,3.453,3.719,4.094,156,3.667,0.673,3.336
AU000000ANZ3,0.788,0.816023738872404,3.608,3.879,4.085,782,3.877,0.79,3.44
AU000000APA1,0.828,0.821428571428571,3.432,3.273,3.465,52,3.442,0.625,3.091
AU000000ASX7,0.471,0.666666666666667,3.115,2.962,3.769,32,3.125,0.478,2.846
AU000000BHP4,0.782,0.824468085106383,4.041,3.699,3.938,376,4.029,0.77,3.322
AU000000BSL0,0.647,0.742857142857143,3.576,3.515,3.667,78,3.692,0.66,3.061
AU000000BXB1,1.0,,1.667,2.333,3.667,4,2.75,1.0,2.667
AU000000CAR3,0.5,0.5,2.6,2.6,3.4,5,2.6,0.4,2.6
AU000000CBA7,0.854,0.88107202680067,3.819,3.874,4.116,1273,3.933,0.809,3.518
AU000000COH5,0.895,0.82051282051282,3.631,3.734,3.828,92,3.804,0.82,3.312
AU000000CPU5,0.61,0.625850340136054,3.104,3.396,3.756,322,3.366,0.526,3.088
AU000000CSL8,0.758,0.745762711864407,3.783,3.551,3.743,150,3.6,0.667,3.274
AU000000EVN4,0.636,0.9,3.467,3.267,3.733,21,3.571,0.692,2.733
AU000000FMG4,0.592,0.588235294117647,3.793,3.309,3.4,112,3.554,0.591,2.914
AU000000GMG2,1.0,1.0,3.923,3.923,3.769,15,4.0,0.833,3.615
AU000000IAG3,,,,,,0,,,
AU000000MPL3,0.654,0.793103448275862,3.255,3.431,4.0,64,3.516,0.6,3.286
AU000000MQG1,0.667,0.818181818181818,3.476,3.238,3.238,22,3.273,0.524,2.81
AU000000NAB4,0.766,0.78476821192053,3.525,3.586,3.883,811,3.655,0.712,3.215
AU000000NST8,0.846,0.727272727272727,3.435,3.087,3.652,27,3.444,0.706,3.087
AU000000ORG5,0.696,0.901408450704225,3.66,3.592,3.97,127,3.622,0.654,3.238
AU000000PME8,,,,,,0,,,
AU000000QAN2,0.781,0.432835820895522,3.575,3.519,3.87,162,3.698,0.71,3.065
AU000000QBE9,0.743,0.853932584269663,3.703,3.81,4.047,233,3.815,0.72,3.434
AU000000REA9,0.921,0.942857142857143,4.2,4.56,4.5,68,4.353,0.911,4.02
AU000000REH4,0.622,0.692307692307692,3.015,3.403,3.652,87,3.425,0.582,2.97
AU000000RIO1,,,,,,1,5.0,,
AU000000S320,0.72,0.739130434782609,3.595,3.541,3.703,44,3.818,0.765,3.378
AU000000SCG8,0.683,0.810810810810811,3.29,3.725,4.087,85,3.635,0.66,3.174
AU000000SGP0,0.741,0.724137931034483,2.896,3.479,3.75,58,3.379,0.595,2.958
AU000000SHL7,0.652,0.666666666666667,3.0,3.425,3.85,47,3.574,0.538,3.1
AU000000SIG5,0.333,1.0,3.143,2.429,3.571,8,3.0,0.333,2.571
AU000000SOL3,,,3.0,3.0,2.0,1,3.0,,3.0
AU000000STO6,0.617,0.653846153846154,3.506,3.143,3.316,90,3.511,0.592,2.868
AU000000SUN6,0.745,0.884615384615385,3.286,3.824,4.071,114,3.702,0.732,3.524
AU000000TCL6,0.722,0.95,3.719,3.294,3.667,42,3.429,0.556,3.176
AU000000TLS2,0.77,0.809352517985611,3.646,3.758,4.038,682,3.861,0.768,3.348
AU000000VCX7,0.429,0.4,3.444,2.889,3.0,12,3.417,0.286,2.333
AU000000WBC1,0.754,0.756554307116105,3.561,3.597,3.951,583,3.72,0.707,3.261
AU000000WES1,0.6,0.625,3.3,3.45,3.9,31,3.258,0.562,2.6
AU000000WOW2,0.627,0.497767857142857,3.119,3.253,3.742,1302,3.486,0.639,2.99
AU000000WTC3,0.768,0.764705882352941,3.324,3.699,3.89,94,3.745,0.677,3.233
AU0000030678,0.699,0.633416458852868,3.151,3.209,3.712,1270,3.465,0.647,3.006
AU0000219529,0.769,0.916666666666667,4.167,4.083,4.333,16,4.25,0.857,3.667
AU0000224040,0.735,0.894736842105263,4.438,3.792,4.042,58,3.776,0.762,3.521
AU0000364754,,,,,,0,,,
BE0003565737,0.746,0.8,3.769,3.714,3.659,179,3.86,0.802,3.331
BE0003604155,0.667,1.0,3.875,3.625,4.125,14,4.0,0.875,3.571
BE0003717312,1.0,,4.25,5.0,4.75,7,4.857,1.0,4.75
BE0003739530,0.91,0.907894736842105,3.906,4.062,4.101,159,4.088,0.813,3.559
BE0003797140,,,,,,1,5.0,,
BE0003822393,0.941,1.0,4.048,4.429,4.143,25,4.28,0.941,4.143
BE0974259880,1.0,,4.0,2.333,3.0,3,4.333,1.0,3.333
