Company ISIN,Company Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CNE1000010N2,37 Interactive,,,,,,,,,,,,1.0,1.0,
US88579Y1010,3M do Brasil,,,,,,,,,,,,0.5,0.875,0.833333333333333
GB00B1YW4409,3i Group,0.0,,0.5,,1.0,1.0,1.0,1.0,,0.75,1.0,0.8,1.0,0.5
US0378331005,A is for Apple,,0.0,0.0,0.307692307692308,0.25,0.714285714285714,0.5,,,0.4,0.5,,,
KYG2953R1149,AAC,,,,,1.0,1.0,1.0,,1.0,1.0,0.5,0.5,0.75,
CH0012221716,ABB,0.868852459016393,0.777777777777778,0.803571428571429,0.721052631578947,0.741444866920152,0.816546762589928,0.732673267326733,0.775132275132275,0.822454308093995,0.868102288021534,0.863368669022379,0.899328859060403,0.881619937694704,0.856707317073171
INE117A01022,ABB,0.868852459016393,0.777777777777778,0.803571428571429,0.721052631578947,0.741444866920152,0.816546762589928,0.732673267326733,0.775132275132275,0.822454308093995,0.868102288021534,0.863368669022379,0.897142857142857,0.881619937694704,0.856707317073171
NL0011540547,ABN AMRO,0.625,0.6,0.818181818181818,0.736842105263158,0.837837837837838,0.659574468085106,0.708333333333333,0.818181818181818,0.733333333333333,0.716312056737589,0.679389312977099,0.872549019607843,0.853448275862069,0.650793650793651
CNE100004ZD8,ACM Research,,,,,,,,,,,,,1.0,
AEA006101017,ADCO,0.75,0.5,0.5,1.0,0.4,0.5,1.0,0.6,1.0,0.666666666666667,1.0,0.666666666666667,0.75,
SA55SG6H5716,ADES International Holding,,,,,,,0.0,,,,1.0,0.5,0.666666666666667,
AEE01195A234,ADNOC Group,1.0,1.0,1.0,1.0,0.8,0.857142857142857,0.823529411764706,0.95,0.883720930232558,0.922413793103448,0.9,0.923076923076923,0.963414634146341,0.777777777777778
AEA007301012,ADNOC Group,1.0,1.0,1.0,1.0,0.8,0.857142857142857,0.823529411764706,0.95,0.883720930232558,0.922413793103448,0.9,0.923076923076923,0.963414634146341,0.777777777777778
JP3388200002,AEON,1.0,,1.0,1.0,1.0,0.714285714285714,0.75,0.857142857142857,0.833333333333333,0.633333333333333,0.795454545454545,0.777777777777778,0.875,0.625
JP3112000009,AGC,0.0,0.2,0.25,0.227272727272727,0.5,0.769230769230769,0.684210526315789,0.761904761904762,0.678571428571429,0.765625,0.730769230769231,0.739130434782609,0.58,0.641025641025641
HK0000069689,AIA Group,1.0,1.0,0.571428571428571,0.857142857142857,0.947368421052632,0.888888888888889,0.851851851851852,0.857142857142857,0.91044776119403,0.864516129032258,0.763440860215054,0.788018433179724,0.816239316239316,0.7734375
IE00BF0L3536,AIB Merchant Services,,,,0.0,0.0,,,1.0,1.0,0.666666666666667,0.333333333333333,0.8,0.791666666666667,0.740740740740741
TH0268010Z03,AIS,1.0,,1.0,1.0,1.0,1.0,0.666666666666667,0.8,1.0,1.0,0.909090909090909,0.714285714285714,0.666666666666667,0.857142857142857
JP3102000001,AISIN Group,1.0,1.0,1.0,0.833333333333333,0.842105263157895,0.769230769230769,0.8,0.421052631578947,0.814814814814815,0.818181818181818,0.616666666666667,0.863636363636364,0.707317073170732,0.736842105263158
FR0010220475,ALSTOM,0.837209302325581,0.545454545454545,0.391752577319588,0.544776119402985,0.645669291338583,0.696969696969697,0.826771653543307,0.755725190839695,0.831081081081081,0.882051282051282,0.819887429643527,0.826335877862595,0.754355400696864,0.786764705882353
US0079031078,AMD,0.145631067961165,0.37719298245614,0.31304347826087,0.279503105590062,0.701754385964912,0.84,0.912280701754386,1.0,0.970802919708029,0.967637540453074,0.932114882506527,0.916455696202532,0.923711340206186,0.86530612244898
US0311001004,AMETEK Programmable Power,,,,,,,,,0.0,,1.0,0.25,,1.0
