Company ISIN,Company Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CNE1000010N2,37 Interactive,,,,,,,,,,,,,,,4.0,3.0,4.0,
US88579Y1010,3M do Brasil,,,,,,,,,,,,,,,,3.66666666666667,4.125,3.5
GB00B1YW4409,3i Group,3.5,,,4.0,3.33333333333333,,4.5,,4.5,3.5,4.0,3.85714285714286,5.0,3.33333333333333,3.875,4.2,5.0,4.0
US0378331005,A is for Apple,,,,,,3.0,1.5,2.28571428571429,2.5,3.63157894736842,2.85714285714286,,3.0,3.0,3.28571428571429,5.0,3.0,
KYG2953R1149,AAC,,,,,,,3.5,,4.0,3.0,3.0,3.0,5.0,2.66666666666667,3.0,2.75,3.6,3.0
INE117A01022,ABB,3.42857142857143,3.27272727272727,3.0625,3.28409090909091,3.19387755102041,3.2012987012987,3.20833333333333,3.22249388753056,3.30184804928131,3.41894353369763,3.38803418803419,3.50071123755334,3.62926136363636,3.55963990997749,3.5265625,3.73856975381008,3.63921568627451,3.70471014492754
CH0012221716,ABB,3.42857142857143,3.27272727272727,3.0625,3.28409090909091,3.19387755102041,3.2012987012987,3.20833333333333,3.22249388753056,3.30184804928131,3.41894353369763,3.38803418803419,3.50071123755334,3.62926136363636,3.55963990997749,3.5265625,3.69444444444444,3.63921568627451,3.70471014492754
NL0011540547,ABN AMRO,4.08333333333333,3.0,3.59375,2.88888888888889,3.38636363636364,3.72727272727273,3.6,3.48837209302326,3.66666666666667,3.51162790697674,3.68539325842697,4.10891089108911,3.75728155339806,3.92,3.58771929824561,3.82065217391304,3.86175115207373,3.95327102803738
CNE100004ZD8,ACM Research,,,,,,,,,,,,,,4.0,,,5.0,
AEA006101017,ADCO,,,,4.5,3.4,1.8,3.0,3.0,3.5,3.83333333333333,4.41666666666667,3.625,3.33333333333333,3.875,4.5,3.8,3.75,
SA55SG6H5716,ADES International Holding,,,,,,,,,,,1.0,,3.0,,4.0,2.75,3.25,
AEA007301012,ADNOC Group,2.0,,,3.66666666666667,3.0,2.5,3.2,4.2,3.54545454545454,3.72,3.7741935483871,3.9047619047619,4.1044776119403,4.1038961038961,4.0253164556962,4.00671140939597,4.10576923076923,4.0
AEE01195A234,ADNOC Group,2.0,,,3.66666666666667,3.0,2.5,3.2,4.2,3.54545454545454,3.72,3.7741935483871,3.9047619047619,4.1044776119403,4.1038961038961,4.0253164556962,4.00671140939597,4.10576923076923,4.0
JP3388200002,AEON,,,4.0,3.0,3.33333333333333,4.0,2.33333333333333,3.0,3.14285714285714,2.81818181818182,2.68421052631579,3.42857142857143,3.375,3.10169491525424,3.27586206896552,3.51960784313725,3.41592920353982,3.21333333333333
JP3112000009,AGC,2.5,,4.25,3.5,3.0,2.71428571428571,2.07142857142857,2.875,3.1875,3.21428571428571,3.3125,3.39473684210526,3.72727272727273,3.40816326530612,3.45454545454545,3.42857142857143,3.54794520547945,3.43636363636364
HK0000069689,AIA Group,,,,3.21428571428571,3.75,3.0,3.13333333333333,3.08695652173913,3.625,3.74193548387097,3.64444444444444,3.76,3.78225806451613,3.83277591973244,3.76938775510204,3.72380952380952,3.766,3.76892430278884
IE00BF0L3536,AIB Merchant Services,,,,,,,,2.0,2.0,2.0,,3.5,3.0,3.11111111111111,3.28571428571429,3.0,2.88888888888889,3.11363636363636
TH0268010Z03,AIS,,,,4.5,3.4,,2.5,4.0,4.0,3.66666666666667,3.25,3.66666666666667,2.75,3.92857142857143,3.8125,3.2,2.38461538461538,3.33333333333333
JP3102000001,AISIN Group,4.5,4.5,3.25,3.0,4.0,2.66666666666667,2.91666666666667,3.52941176470588,3.27777777777778,3.18181818181818,3.60526315789474,3.37777777777778,3.8780487804878,3.51948051948052,3.44318181818182,3.54545454545454,3.60344827586207,3.73333333333333
FR0010220475,ALSTOM,3.5,3.33333333333333,3.68181818181818,3.325,3.36224489795918,3.28440366972477,3.48275862068965,3.38670694864048,3.25714285714286,3.35813953488372,3.6036036036036,3.48917748917749,3.6600790513834,3.54446177847114,3.46740467404674,3.49215922798552,3.50569948186528,3.50110375275938
US0079031078,AMD,3.27054794520548,2.86184210526316,3.27722772277228,3.12403100775194,3.24703557312253,3.36787564766839,3.3302752293578,3.19277108433735,3.44943820224719,3.34931506849315,3.41975308641975,3.43137254901961,3.55172413793103,3.74064837905237,3.71919191919192,3.68623853211009,3.75562218890555,3.63848396501458
US0311001004,AMETEK Programmable Power,,,,,,,,,,,,,2.66666666666667,3.16666666666667,4.0,3.16666666666667,3.0,4.0
US02665T3068,AMH,,,,,,3.0,2.41176470588235,3.12727272727273,3.28947368421053,3.48214285714286,4.0,3.88095238095238,3.44736842105263,3.67924528301887,3.64634146341463,3.328125,3.09433962264151,2.9
KYG040111059,ANTA,,,,,,,,,,2.0,1.0,1.0,,,,,1.0,
AU000000ANZ3,ANZ,4.25,3.25,3.34615384615385,3.40625,3.48461538461538,3.40322580645161,3.46017699115044,3.40697674418605,3.32314410480349,3.55335968379447,3.61016949152542,3.7013698630137,3.89537712895377,3.77164366373902,3.65699208443272,3.70940170940171,3.6077057793345,3.62011173184358
AU000000APA1,APA,,,,,,4.0,,3.0,2.66666666666667,1.66666666666667,4.0,3.4,3.45454545454545,3.54545454545454,3.72222222222222,4.13333333333333,3.43181818181818,3.40909090909091
CNE100004C45,APT Research,,,,,,,,,,,,,5.0,4.3,3.85714285714286,3.0,3.57894736842105,4.33333333333333
CA00208D4084,ARC Resources,,,,,,5.0,,,4.5,4.25,4.0,3.6,3.2,3.4,4.2,2.0,4.6,4.5
TW0003711008,ASE Global,,,,,,,,,,,,,,,,2.0,1.0,2.0
JP3118000003,ASICS,,,,3.5,3.0,3.0,3.08333333333333,3.19047619047619,3.3,3.3953488372093,3.11538461538461,2.921875,3.22388059701492,3.35042735042735,3.20289855072464,3.42574257425743,3.40860215053763,3.46774193548387
NL0000334118,ASM,,,4.0,3.125,2.0,,3.5,4.27272727272727,3.54545454545454,3.0,3.91666666666667,3.2,4.23076923076923,3.44444444444444,3.90909090909091,3.7972972972973,3.67676767676768,3.20430107526882
NL0010273215,ASML,3.5,3.6,2.94444444444444,3.0,3.29166666666667,3.88888888888889,3.57142857142857,3.85526315789474,3.85897435897436,4.06542056074766,3.83653846153846,3.86923076923077,3.9,3.97515527950311,3.875,4.11798839458414,4.07536764705882,4.09558823529412
TW0002357001,ASUS,3.0,3.33333333333333,2.8,3.21428571428571,2.79166666666667,2.48275862068965,2.54838709677419,2.84375,2.703125,2.93877551020408,2.77777777777778,3.14473684210526,3.32584269662921,3.30392156862745,3.41436464088398,3.27272727272727,3.42675159235669,3.06593406593407
AU000000ASX7,ASX,,,,,,,,,,,1.0,4.0,4.0,3.75,2.83333333333333,2.91666666666667,3.11538461538461,3.25
US00206R1023,AT&T,3.12064343163539,3.41881918819188,3.49492900608519,3.51987767584098,3.66435185185185,3.71536523929471,3.7985,3.79815695600476,3.80759200231817,3.81058823529412,3.83428320911881,3.92020815264527,3.98439531859558,3.95152768205835,3.94955489614243,3.89771359807461,3.78612940720651,3.80189491817399
INE949L01017,AU Small Finance Bank,,,,,,,,,,2.66666666666667,4.62453531598513,3.62222222222222,3.02,4.27355623100304,3.44897959183673,4.50137741046832,3.16521739130435,3.23188405797101
TW0002409000,AUO Crystal,,,,,,,,,,,,,,3.33333333333333,5.0,3.5,,
FR0000120628,AXA,3.4,3.0,3.3695652173913,3.0,3.33098591549296,3.12903225806452,3.25806451612903,3.14285714285714,3.34385964912281,3.44647519582245,3.42260442260442,3.5532319391635,3.61753731343284,3.60587002096436,3.60071090047393,3.6637037037037,3.69721767594108,3.60294117647059
US00287Y1091,AbbVie,,,,,,3.91176470588235,3.8955223880597,3.8,3.88671875,3.90740740740741,4.15730337078652,3.99504950495049,4.04347826086957,3.96059113300493,3.92487684729064,3.9149855907781,3.9413680781759,4.05454545454545
US0028241000,Abbott,3.53125,3.58333333333333,3.56395348837209,3.58620689655172,3.67980295566502,3.69117647058824,3.82704402515723,3.76633165829146,3.82352941176471,3.7008547008547,3.80041152263374,3.68795620437956,3.82260596546311,3.85515727871251,3.77807486631016,3.72525732383215,3.78017585931255,3.78167938931298
ZAE000255915,Absa,,2.0,,,3.33333333333333,3.0,3.5,3.11111111111111,3.14285714285714,3.3125,3.54054054054054,3.5,3.31578947368421,3.69677419354839,3.49065420560748,3.58653846153846,3.78285714285714,3.72727272727273
AEA000801018,Abu Dhabi Islamic Bank,,,,,3.0,4.0,3.0,3.44444444444444,3.66666666666667,2.8,2.66666666666667,3.0,2.71428571428571,3.03225806451613,3.42857142857143,3.25806451612903,3.22727272727273,3.5
CNE100000F87,Accelink Technologies,,,,,,,,5.0,3.0,4.0,,,,,,,3.0,
