Company ISIN,Company Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CNE1000010N2,37 Interactive,,,,,,,,,,,3.0,3.0,5.0,
US88579Y1010,3M do Brasil,,,,,,,,,,,,5.0,4.875,4.375
GB00B1YW4409,3i Group,2.5,,5.0,,4.5,2.75,4.5,4.25,5.0,4.16666666666667,4.375,3.8,5.0,4.0
US0378331005,A is for Apple,,1.5,1.75,2.64285714285714,2.25,3.72222222222222,2.57142857142857,,3.0,3.4,3.14285714285714,5.0,3.0,
KYG2953R1149,AAC,,,1.5,,4.0,3.0,5.0,3.5,5.0,2.66666666666667,3.5,2.5,3.8,3.0
INE117A01022,ABB,3.72173913043478,3.64285714285714,3.62737642585551,3.56511056511056,3.6125,3.70856102003643,3.57044673539519,3.65092989985694,3.86628733997155,3.90436746987952,3.9356862745098,4.03169014084507,3.9320197044335,3.91711711711712
CH0012221716,ABB,3.72173913043478,3.64285714285714,3.62737642585551,3.56511056511056,3.6125,3.70856102003643,3.57044673539519,3.65092989985694,3.86628733997155,3.90436746987952,3.9356862745098,4.00513874614594,3.9320197044335,3.91711711711712
NL0011540547,ABN AMRO,3.72222222222222,3.63636363636364,3.45,3.5,3.65573770491803,3.37209302325581,3.19318181818182,3.83168316831683,3.78217821782178,3.92039800995025,3.5374449339207,3.89189189189189,3.85915492957746,3.75
CNE100004ZD8,ACM Research,,,,,,,,,,4.0,,,5.0,
AEA006101017,ADCO,2.75,2.2,2.5,2.0,2.77272727272727,3.11111111111111,3.75,3.125,3.66666666666667,3.875,4.33333333333333,3.8,3.66666666666667,
SA55SG6H5716,ADES International Holding,,,,,,,1.0,,3.0,,3.0,3.0,2.25,
AEE01195A234,ADNOC Group,3.8,3.5,2.2,3.9,3.63636363636364,3.8,3.35483870967742,3.9,4.0,3.95424836601307,3.98717948717949,3.84563758389262,4.03921568627451,3.8974358974359
