Company ISIN,Company Name,2020,2021,2022,2023,2024,2025
CNE1000010N2,37 Interactive,,,3.0,3.0,5.0,
US88579Y1010,3M do Brasil,,,,4.83333333333333,4.75,4.5
GB00B1YW4409,3i Group,,3.5,3.875,3.8,4.0,3.5
US0378331005,A is for Apple,4.0,4.2,3.57142857142857,5.0,4.0,
KYG2953R1149,AAC,,3.0,3.75,2.5,3.8,4.0
INE117A01022,ABB,3.91189427312775,3.92846270928463,4.01182965299685,4.04976303317536,4.00596421471173,4.01814882032668
CH0012221716,ABB,3.91189427312775,3.92846270928463,4.01182965299685,4.03112033195021,4.00596421471173,4.01814882032668
NL0011540547,ABN AMRO,4.10714285714286,3.96938775510204,3.65198237885463,4.02717391304348,4.0607476635514,4.04672897196262
CNE100004ZD8,ACM Research,,4.0,,,,
AEA006101017,ADCO,4.0,3.875,4.33333333333333,3.63636363636364,2.66666666666667,
SA55SG6H5716,ADES International Holding,,,3.0,3.25,2.5,
AEE01195A234,ADNOC Group,3.66666666666667,3.9281045751634,3.83225806451613,3.80821917808219,4.01941747572816,3.79487179487179
AEA007301012,ADNOC Group,3.66666666666667,3.9281045751634,3.83225806451613,3.80821917808219,4.01941747572816,3.79487179487179
JP3388200002,AEON,3.6,3.20338983050847,3.36470588235294,3.48514851485148,3.61607142857143,3.5
JP3112000009,AGC,3.45454545454545,3.50515463917526,3.57894736842105,3.46376811594203,3.54794520547945,3.65384615384615
HK0000069689,AIA Group,3.97916666666667,3.66323024054983,3.68464730290456,3.70772946859903,3.76422764227642,3.56349206349206
IE00BF0L3536,AIB Merchant Services,,3.66666666666667,3.0,3.77777777777778,3.81132075471698,3.64285714285714
TH0268010Z03,AIS,2.0,3.64285714285714,3.75,3.13333333333333,2.92307692307692,3.88888888888889
JP3102000001,AISIN Group,3.63636363636364,3.57142857142857,3.45348837209302,3.49230769230769,3.56896551724138,3.72413793103448
FR0010220475,ALSTOM,3.92941176470588,3.88188976377953,3.8818407960199,3.87213510253317,3.92075078206465,3.92935982339956
US0079031078,AMD,4.26415094339623,4.26208651399491,4.32581967213115,4.19739292364991,4.12024353120244,4.05952380952381
US0311001004,AMETEK Programmable Power,,3.66666666666667,3.0,3.16666666666667,2.5,3.66666666666667
US02665T3068,AMH,3.27272727272727,3.86274509803922,3.78313253012048,3.63492063492063,3.47058823529412,3.25
KYG040111059,ANTA,,,,,1.0,
AU000000ANZ3,ANZ,4.1744966442953,4.25888324873096,4.27682119205298,4.22813036020583,4.08450704225352,3.99444444444444
AU000000APA1,APA,4.0,3.54545454545454,3.61111111111111,4.4,3.46511627906977,3.13636363636364
CNE100004C45,APT Research,5.0,3.5,2.71428571428571,2.77777777777778,2.78947368421053,3.75
CA00208D4084,ARC Resources,1.0,2.8,3.2,2.66666666666667,4.0,5.0
TW0003711008,ASE Global,,,,2.0,1.0,2.33333333333333
JP3118000003,ASICS,3.61904761904762,3.77586206896552,3.78102189781022,3.86,3.96739130434783,3.82258064516129
NL0000334118,ASM,3.5,3.2,3.95454545454545,3.67123287671233,3.48484848484848,2.45161290322581
NL0010273215,ASML,4.06666666666667,4.11205073995772,4.16344086021505,4.25838264299803,4.30939226519337,4.23507462686567
TW0002357001,ASUS,3.70833333333333,3.47236180904523,3.43016759776536,3.27450980392157,3.5,3.1
AU000000ASX7,ASX,,4.25,3.0,3.08333333333333,3.76923076923077,3.375
US00206R1023,AT&T,3.97411764705882,3.94172062904718,3.93709150326797,3.92197500761963,3.77031802120141,3.78264680105171
INE949L01017,AU Small Finance Bank,2.66666666666667,4.19631901840491,3.23958333333333,4.4958217270195,3.02608695652174,2.7536231884058
TW0002409000,AUO Crystal,,3.33333333333333,5.0,3.0,,
FR0000120628,AXA,3.84905660377358,3.93844492440605,4.00962695547533,4.00601503759399,3.98671096345515,3.88588588588589
US00287Y1091,AbbVie,3.95555555555556,3.91780821917808,4.01600985221675,3.96345029239766,3.94299674267101,4.0516717325228
US0028241000,Abbott,3.90990990990991,3.88418708240534,3.92654986522911,3.79760956175299,3.89516129032258,3.90644171779141
