Company ISIN,Company Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
US3364331070,1st Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CNE1000010N2,37 Interactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
US88579Y1010,3M do Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,10
GB00B1YW4409,3i Group,1,0,0,2,3,0,3,0,3,7,2,9,4,8,11,8,6,3
US0378331005,A is for Apple,0,0,0,0,0,2,9,16,11,20,11,2,5,11,12,3,5,0
KYG2953R1149,AAC,0,0,0,0,0,0,2,0,1,2,2,2,3,6,6,9,9,2
CH0012221716,ABB,7,11,16,44,154,162,287,469,543,614,678,813,914,1742,1662,1325,1328,733
INE117A01022,ABB,7,11,16,44,154,162,287,469,543,614,678,813,914,1742,1662,1165,1328,733
NL0011540547,ABN AMRO,6,6,16,9,26,24,22,52,71,97,102,124,155,303,322,266,310,174
CNE100004ZD8,ACM Research,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
AEA006101017,ADCO,0,0,0,1,5,6,5,3,28,19,14,8,3,11,5,12,10,0
SA55SG6H5716,ADES International Holding,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,4,2
AEE01195A234,ADNOC Group,1,0,0,3,6,2,8,12,27,29,39,55,86,194,205,197,132,56
AEA007301012,ADNOC Group,1,0,0,3,6,2,8,12,27,29,39,55,86,194,205,197,132,56
JP3388200002,AEON,0,0,1,1,3,3,3,6,10,14,21,15,23,83,110,134,152,95
JP3112000009,AGC,1,0,2,2,4,7,14,35,34,30,35,46,50,125,101,95,100,75
HK0000069689,AIA Group,0,0,0,7,7,5,15,27,42,38,54,66,188,418,680,591,702,390
IE00BF0L3536,AIB Merchant Services,0,0,0,0,0,0,0,2,2,1,1,2,1,11,9,11,82,58
TH0268010Z03,AIS,0,0,0,1,5,1,4,5,4,9,8,14,4,17,26,20,21,14
JP3102000001,AISIN Group,1,2,2,1,3,3,13,19,40,39,39,51,46,100,116,84,72,39
FR0010220475,ALSTOM,1,9,22,40,105,119,223,379,275,240,246,276,320,828,1021,1055,1222,613
US0079031078,AMD,146,76,101,129,272,214,240,285,207,178,195,198,266,580,691,763,922,518
US0311001004,AMETEK Programmable Power,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,4,3
US02665T3068,AMH,0,0,0,0,0,4,17,61,40,57,74,49,42,60,92,78,66,27
KYG040111059,ANTA,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
AU000000ANZ3,ANZ,2,4,13,32,71,71,118,188,260,280,325,439,536,1092,1005,753,782,525
AU000000APA1,APA,0,0,0,0,0,1,0,2,4,3,6,11,14,12,26,24,52,25
CNE100004C45,APT Research,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,15,24,12
CA00208D4084,ARC Resources,0,0,0,0,0,1,0,0,2,4,2,5,6,9,12,5,7,6
TW0003711008,ASE Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
JP3118000003,ASICS,0,0,0,1,1,5,13,25,35,49,57,71,79,152,177,140,129,88
NL0000334118,ASM,0,0,1,4,3,0,2,11,11,15,14,23,15,60,52,93,121,113
NL0010273215,ASML,1,5,9,9,15,18,45,84,90,120,123,157,256,622,623,670,741,393
TW0002357001,ASUS,1,3,5,7,26,30,33,72,77,105,96,87,112,267,228,213,198,129
AU000000ASX7,ASX,0,0,0,0,0,0,0,0,0,1,1,3,1,5,6,19,32,22
US00206R1023,AT&T,373,271,493,654,921,1268,2179,3737,3858,3794,2596,2671,2884,5758,4736,4283,3428,1587
INE949L01017,AU Small Finance Bank,0,0,0,0,0,0,0,0,0,3,275,49,62,352,113,404,146,83
TW0002409000,AUO Crystal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0
FR0000120628,AXA,5,1,23,22,78,71,138,185,337,453,477,646,705,1301,1155,907,891,505
US00287Y1091,AbbVie,0,0,0,0,0,35,75,188,299,245,208,242,487,1125,1076,919,848,456
US0028241000,Abbott,64,36,86,116,215,228,354,463,455,531,560,650,818,1829,1931,1688,1703,912
ZAE000255915,Absa,0,1,0,0,4,1,2,10,7,19,40,54,101,215,283,277,233,114
AEA000801018,Abu Dhabi Islamic Bank,0,0,0,0,2,1,5,9,11,6,17,10,19,47,47,42,28,13
CNE100000F87,Accelink Technologies,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,0
IE00B4BNMY34,Accenture,375,434,709,687,1927,2086,3272,5948,7358,8231,9601,12270,15856,34223,31757,26477,31515,17447
ES0125220311,Acciona,0,0,0,0,7,7,8,19,24,27,39,58,87,183,131,131,199,141
FR0000120404,Accor,1,1,3,4,27,23,43,148,177,225,240,375,455,730,635,594,641,335
TW0002345006,Accton Technology,0,0,0,2,2,3,2,2,1,2,2,2,2,7,8,7,9,2
TW0002353000,Acer Group,0,1,1,2,13,14,25,46,27,36,27,63,34,77,81,49,32,18
SA15CGS10H12,Acwa Power,0,0,0,0,0,0,0,0,2,2,4,7,8,15,24,20,18,9
INE423A01024,Adani Infra,0,0,0,0,3,1,1,0,3,1,2,1,0,2,5,7,12,5
INE742F01042,Adani Ports and Special Economic Zone Limited (APSEZ),0,0,0,0,1,1,2,3,4,9,17,17,13,37,30,27,38,10
INE814H01011,Adani Power,0,0,0,0,19,3,13,8,20,27,35,42,42,71,54,51,70,46
SE0014781795,Addtech,0,0,0,0,0,0,1,0,0,0,0,4,0,1,2,2,2,0
GB00B02J6398,Admiral Group,0,0,1,0,0,3,5,12,32,52,44,53,86,179,222,160,161,123
US00724F1012,Adobe,92,74,111,108,241,228,380,500,532,600,576,643,786,1711,1491,1227,1398,869
CNE100003MM9,Advanced Micro-Fabrication Equipment,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,1,0
TW0002395001,Advantech Technologies,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0
JP3122400009,Advantest,0,0,0,0,2,10,8,11,7,8,10,7,11,37,48,30,37,20
NL0012969182,Adyen,0,0,0,0,0,0,3,5,6,15,13,40,56,136,177,241,290,140
BMG0112X1056,Aegon,3,4,8,23,19,16,28,41,56,52,47,74,75,154,130,110,104,64
US0010551028,Aflac Northern Ireland ,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,7,8,9
US00846U1016,Agilent Technologies,32,37,56,57,108,132,140,139,140,173,153,167,179,396,344,319,314,186
CA0084741085,Agnico Eagle,0,0,0,0,0,1,0,5,0,7,7,17,8,23,43,50,41,16
CNE100000RJ0,Agricultural Bank of China,0,1,1,1,4,6,14,23,28,24,17,23,26,35,50,33,29,10
CNE000001NN0,Air China,0,0,1,1,0,0,4,8,4,3,11,6,70,18,12,15,19,4
US0091581068,Air Products,3,8,11,17,36,42,73,131,131,76,66,78,81,191,224,179,237,140
KYG014081064,AirTAC,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,2,2,3
US0090661010,Airbnb,0,0,0,1,12,8,90,155,171,168,173,170,373,441,363,364,358,226
TH0765010Z08,Airports of Thailand,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,2,2,0
US6200763075,Airwave Solutions,0,0,0,2,0,6,7,4,7,4,4,3,1,3,1,1,0,0
JP3119600009,Ajinomoto,0,0,0,1,1,1,10,54,28,39,46,80,60,162,168,140,168,111
US00971T1016,Akamai,3,9,7,17,63,72,114,215,242,207,219,242,230,498,460,372,441,242
TRAAKBNK91N6,Akbank,0,0,0,0,3,5,6,14,17,11,14,25,25,66,45,47,40,18
NO0010345853,Aker BP,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,5,1
KYG0146B1032,Akeso Occupational Health.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
NL0013267909,AkzoNobel,4,10,16,16,53,54,78,202,169,211,207,184,192,354,398,345,405,244
KW0EQ0100010,Al Ahli Bank of Kuwait,0,0,0,1,1,1,0,1,6,11,8,6,7,14,11,17,12,7
SA15GG53GHH3,Al Elm Information Security Company,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,6,0
SA0007879055,Al Jazira Bank,1,0,0,1,1,0,1,0,1,2,1,3,5,5,6,1,2,2
SA0007879113,Al Rajhi Banking,0,0,0,1,3,1,2,2,3,3,4,4,9,27,27,22,31,10
ID1000111305,AlamTri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA0115321089,Alamos Gold,0,0,0,0,0,0,0,0,1,0,2,5,6,9,14,6,7,5
US0130911037,Albertsons Companies,11,14,44,48,68,71,113,209,255,251,226,216,309,665,634,479,447,231
KYG022421088,Alchip,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1,0,0,1
AEA002001013,Aldar Holding,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,15,13,10
US0152711091,Alexandria Real Estate Equities,0,0,0,0,0,1,1,2,8,5,8,7,4,9,14,2,5,1
SE0000695876,Alfa Laval,1,0,1,0,12,12,10,22,40,42,32,48,64,129,154,141,160,107
MXP000511016,Alfa SA,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,0,1
ID1000128705,Alfamart,0,0,0,0,0,0,0,0,0,1,0,0,5,11,25,24,28,13
KYG017191142,Alibaba Group,1,2,5,9,6,14,23,53,59,82,105,130,209,424,490,332,355,202
US0162551016,Align Technology,0,0,5,3,10,19,13,24,25,55,53,164,226,370,476,368,433,258
SA122050HV19,Alinma Bank,0,0,0,0,2,0,2,0,3,2,5,1,4,5,6,10,11,5
INE540L01014,Alkem Laboratories,0,0,0,0,6,2,2,5,6,20,15,37,25,60,44,38,43,19
IE00BFRT3W74,Allegion,0,0,0,0,0,0,6,36,35,36,51,56,72,140,116,107,112,61
LU2237380790,Allegro,0,0,1,0,1,0,3,4,2,5,5,3,11,29,42,50,48,29
US0188021085,Alliant Energy,2,1,2,9,7,9,9,18,31,34,24,19,37,56,94,49,43,23
DE0008404005,Allianz,4,2,23,38,51,67,94,249,324,464,477,633,785,1753,1782,1541,1553,897
US0200021014,Allstate,59,62,101,176,197,287,479,748,752,802,626,662,947,1906,1533,953,822,460
SA000A0ETHT1,Almarai,0,0,0,0,12,9,6,20,21,32,31,24,17,62,92,93,70,22
US02043Q1076,Alnylam,0,0,0,0,0,0,1,1,1,7,6,3,11,21,42,50,68,41
US8716071076,Alpha Synopsys,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,1
US02079K3059,Alphabet (GB),0,0,0,0,0,0,1,1,0,3,10,13,8,22,32,15,10,4
CA0213611001,AltaGas,0,1,0,1,2,3,3,1,5,10,11,2,8,10,18,15,14,2
KR7196170005,Alteogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
US02209S1033,Altria,3,8,41,47,70,51,89,142,141,110,81,109,73,161,163,108,97,56
CNE1000000T0,Aluminum Corporation of China,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0
ES0109067019,Amadeus,1,5,15,19,50,84,157,219,255,279,310,411,560,988,781,614,616,393
US0231351067,Amazon,214,165,167,249,616,969,1586,3447,4716,7768,8876,10030,19058,44203,48069,35946,32776,16675
MYL1015OO006,Ambank Group,0,2,1,3,5,1,7,13,32,30,22,39,36,92,125,93,119,69
BRABEVACNOR1,Ambev,0,0,0,1,0,5,248,845,358,451,660,881,754,1490,1713,1927,2074,1358
INE079A01024,Ambuja Cements,0,0,1,0,17,11,7,9,17,10,25,31,26,45,51,31,28,16
JE00BJ1F3079,Amcor (GA),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
US0236081024,Ameren,2,1,4,2,5,14,18,40,38,43,37,47,50,153,120,100,95,54
US0255371017,American Electric Power,6,3,11,20,14,36,33,57,54,56,44,49,64,176,144,145,149,121
US0258161092,American Express Global Business Travel,0,0,0,0,0,0,0,30,107,138,134,122,222,462,387,325,500,195
US0259321042,American Financial Group,0,0,0,0,1,2,3,2,1,4,2,3,2,9,6,3,7,4
US0304201033,American Water,3,3,5,9,15,14,37,48,62,52,46,33,27,85,86,44,48,38
AEE01135A222,Americana Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,4
US0311621009,Amgen,56,44,58,76,75,125,284,317,274,294,235,250,332,738,618,475,255,158
ID1000191109,Amman Minera,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,5,8,6
KR7090430000,Amore Pacific,0,0,0,0,1,3,2,3,10,20,20,24,22,67,42,23,18,11
US0320951017,Amphenol Network Solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1
FR0004125920,Amundi,0,0,1,1,3,2,5,13,17,30,34,29,15,34,66,71,65,63
MX01AM050019,América Móvil,0,0,0,0,0,1,1,3,3,10,9,8,15,45,43,25,30,11
US0326541051,Analog Devices,17,17,35,27,40,53,57,101,102,102,114,124,204,470,586,491,609,230
CNE0000014G0,Angel Yeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0
GB00BTK05J60,Anglo American,0,3,2,2,2,8,29,105,71,72,65,104,141,299,314,339,319,178
GB00BRXH2664,AngloGold Ashanti,0,0,0,1,4,2,14,32,13,23,37,57,81,135,145,118,88,44
BE0974293251,Anheuser-Busch InBev,0,4,6,12,17,24,87,159,256,380,317,455,486,1023,906,820,752,470
CNE0000019V8,Anhui Conch Cement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CNE1000047B9,Anker Innovations,0,0,0,0,0,0,0,0,0,0,0,1,0,8,5,3,5,2
US0357108390,Annaly Capital Management,0,0,0,0,0,0,0,3,4,6,0,1,1,3,6,1,5,2
GB0000456144,Antofagasta,0,0,0,0,0,0,0,2,0,1,1,1,1,1,5,4,3,3
IE00BLP1HW54,Aon,5,18,27,38,64,100,135,295,463,835,639,722,700,1339,1129,837,944,589
US03769M1062,Apollo Global Management,0,0,0,0,0,5,2,6,20,15,10,14,36,46,69,44,72,46
INE702C01027,Apollo Tubes,0,0,0,0,1,0,0,0,1,3,4,3,10,8,9,5,7,7
US03831W1080,AppLovin,0,0,0,0,0,0,15,6,8,5,4,44,44,24,30,35,52,25
US0382221051,Applied Materials,45,39,76,72,104,128,140,202,190,182,178,193,275,711,810,656,658,396
JE00BTDN8H13,Aptiv,0,0,0,0,0,0,0,0,0,5,135,206,266,565,561,528,525,482
SA0007879105,Arab National Bank,0,0,1,0,0,2,3,5,0,8,8,3,4,6,10,5,8,1
US2538681030,Arbor Realty Trust,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,20
MX01AC100006,Arca Continental,0,0,0,2,0,1,0,1,9,37,42,46,51,61,82,96,79,78
LU1598757687,ArcelorMittal Nippon Steel India,0,0,0,0,0,0,0,0,0,0,0,0,7,40,69,58,69,57
BMG0450A1053,Arch Capital,2,3,2,2,5,3,2,6,26,43,25,20,20,57,50,54,80,39
US03990B1017,Ares Management,0,0,0,4,4,5,16,9,17,10,19,25,21,55,64,61,80,76
