Company ISIN,Company Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
US3364331070,1st Solar,,,,,,,,,,,,,,4.0,,,,
CNE1000010N2,37 Interactive,,,,,,,,,,,,,,,5.0,2.0,4.0,
US88579Y1010,3M do Brasil,,,,,,,,,,,,,,,,4.66666666666667,4.33333333333333,4.3
GB00B1YW4409,3i Group,4.0,,,4.5,4.0,,3.0,,3.66666666666667,3.28571428571429,4.0,4.0,3.75,3.875,4.54545454545455,4.375,4.66666666666667,4.0
US0378331005,A is for Apple,,,,,,1.5,1.44444444444444,2.1875,2.63636363636364,3.35,2.90909090909091,3.0,3.6,3.09090909090909,3.58333333333333,4.66666666666667,3.2,
KYG2953R1149,AAC,,,,,,,1.5,,4.0,4.0,3.5,3.5,4.66666666666667,2.83333333333333,3.5,2.88888888888889,4.33333333333333,4.5
CH0012221716,ABB,3.57142857142857,3.54545454545454,3.625,3.38636363636364,3.65584415584416,3.61728395061728,3.61324041811847,3.57782515991471,3.71086556169429,3.73941368078176,3.59882005899705,3.79581795817958,3.99124726477024,3.95177956371986,3.97412755716005,4.06339622641509,3.98042168674699,3.99727148703956
INE117A01022,ABB,3.57142857142857,3.54545454545454,3.625,3.38636363636364,3.65584415584416,3.61728395061728,3.61324041811847,3.57782515991471,3.71086556169429,3.73941368078176,3.59882005899705,3.79581795817958,3.99124726477024,3.95177956371986,3.97412755716005,4.09184549356223,3.98042168674699,3.99727148703956
NL0011540547,ABN AMRO,3.0,3.16666666666667,3.5625,2.88888888888889,3.57692307692308,3.91666666666667,3.27272727272727,3.30769230769231,3.95774647887324,3.70103092783505,3.55882352941176,4.03225806451613,3.94838709677419,4.04950495049505,3.81366459627329,4.04511278195489,4.06774193548387,3.9367816091954
CNE100004ZD8,ACM Research,,,,,,,,,,,,,,5.0,,,4.5,
AEA006101017,ADCO,,,,3.0,3.8,1.5,2.8,3.66666666666667,3.17857142857143,3.47368421052632,4.14285714285714,3.25,4.0,4.27272727272727,4.6,4.0,3.3,
SA55SG6H5716,ADES International Holding,,,,,,,,,,,1.0,,4.0,4.0,4.5,2.5,2.75,5.0
AEE01195A234,ADNOC Group,3.0,,,3.0,3.83333333333333,2.5,3.125,4.33333333333333,3.92592592592593,3.96551724137931,3.69230769230769,3.98181818181818,4.22093023255814,4.22164948453608,4.17073170731707,4.04568527918782,4.13636363636364,3.96428571428571
AEA007301012,ADNOC Group,3.0,,,3.0,3.83333333333333,2.5,3.125,4.33333333333333,3.92592592592593,3.96551724137931,3.69230769230769,3.98181818181818,4.22093023255814,4.22164948453608,4.17073170731707,4.04568527918782,4.13636363636364,3.96428571428571
JP3388200002,AEON,,,4.0,3.0,4.0,2.66666666666667,3.33333333333333,3.66666666666667,3.1,3.07142857142857,3.33333333333333,3.53333333333333,3.8695652173913,3.40963855421687,3.81818181818182,3.76865671641791,3.78947368421053,3.31578947368421
JP3112000009,AGC,2.0,,3.0,4.0,2.75,2.57142857142857,2.21428571428571,2.45714285714286,3.08823529411765,3.1,3.54285714285714,3.78260869565217,3.58,3.576,3.69306930693069,3.65263157894737,3.64,3.64
HK0000069689,AIA Group,,,,2.71428571428571,3.71428571428571,4.0,3.13333333333333,3.11111111111111,3.80952380952381,3.68421052631579,3.40740740740741,3.77272727272727,3.84042553191489,3.75358851674641,3.76029411764706,3.74788494077834,3.76638176638177,3.69487179487179
IE00BF0L3536,AIB Merchant Services,,,,,,,,2.5,3.0,4.0,3.0,4.0,4.0,3.72727272727273,3.66666666666667,3.54545454545454,3.47560975609756,3.58620689655172
TH0268010Z03,AIS,,,,4.0,3.4,2.0,2.75,4.0,4.25,3.88888888888889,3.625,3.5,3.5,3.82352941176471,4.11538461538461,3.5,3.33333333333333,4.0
JP3102000001,AISIN Group,3.0,4.0,2.5,3.0,2.66666666666667,2.33333333333333,2.61538461538461,2.78947368421053,3.4,3.25641025641026,3.05128205128205,3.07843137254902,3.80434782608696,3.69,3.62931034482759,3.54761904761905,3.76388888888889,3.76923076923077
FR0010220475,ALSTOM,3.0,3.66666666666667,3.27272727272727,3.45,3.66666666666667,3.53781512605042,3.4304932735426,3.52770448548813,3.39272727272727,3.48333333333333,3.76422764227642,3.79347826086956,3.871875,3.89371980676328,3.83349657198825,3.8085308056872,3.77168576104746,3.7699836867863
