Company ISIN,Company Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CNE1000010N2,37 Interactive,,,,,,,,,,,,,,,1.0,0.0,1.0,
US88579Y1010,3M do Brasil,,,,,,,,,,,,,,,,1.0,0.875,0.857142857142857
GB00B1YW4409,3i Group,1.0,,,1.0,0.666666666666667,,0.5,,1.0,0.5,1.0,0.8,,0.5,0.875,0.833333333333333,1.0,0.5
US0378331005,A is for Apple,,,,,,0.0,0.0,0.2,0.285714285714286,0.6,0.25,,0.666666666666667,0.4,0.5,,,
KYG2953R1149,AAC,,,,,,,0.0,,1.0,0.5,1.0,1.0,1.0,0.666666666666667,0.5,0.25,0.6,
INE117A01022,ABB,1.0,0.888888888888889,1.0,0.764705882352941,0.8125,0.801418439716312,0.781376518218624,0.781914893617021,0.788888888888889,0.799196787148594,0.734082397003745,0.793650793650794,0.838283828382838,0.825070159027128,0.826976744186046,0.858630952380952,0.819905213270142,0.796380090497738
CH0012221716,ABB,1.0,0.888888888888889,1.0,0.764705882352941,0.8125,0.801418439716312,0.781376518218624,0.781914893617021,0.788888888888889,0.799196787148594,0.734082397003745,0.793650793650794,0.838283828382838,0.825070159027128,0.826976744186046,0.844850065189048,0.819905213270142,0.796380090497738
NL0011540547,ABN AMRO,0.25,0.6,0.666666666666667,0.2,0.666666666666667,0.833333333333333,0.722222222222222,0.571428571428571,0.833333333333333,0.688311688311688,0.675,0.851851851851852,0.752808988764045,0.791907514450867,0.716763005780347,0.856115107913669,0.813664596273292,0.761904761904762
CNE100004ZD8,ACM Research,,,,,,,,,,,,,,1.0,,,1.0,
AEA006101017,ADCO,,,,,0.75,0.2,0.4,0.0,0.4,0.466666666666667,0.928571428571429,0.5,1.0,0.666666666666667,1.0,0.875,0.8,
SA55SG6H5716,ADES International Holding,,,,,,,,,,,0.0,,1.0,,1.0,0.5,0.25,
AEE01195A234,ADNOC Group,0.0,,,0.5,0.75,1.0,0.75,0.857142857142857,0.818181818181818,0.95,0.714285714285714,0.851851851851852,0.810344827586207,0.821917808219178,0.86013986013986,0.82089552238806,0.884210526315789,0.821428571428571
AEA007301012,ADNOC Group,0.0,,,0.5,0.75,1.0,0.75,0.857142857142857,0.818181818181818,0.95,0.714285714285714,0.851851851851852,0.810344827586207,0.821917808219178,0.86013986013986,0.82089552238806,0.884210526315789,0.821428571428571
JP3388200002,AEON,,,1.0,,0.666666666666667,1.0,0.666666666666667,0.8,0.666666666666667,0.8,0.647058823529412,0.5,0.8,0.531914893617021,0.777777777777778,0.638888888888889,0.689189189189189,0.653846153846154
JP3112000009,AGC,,,0.5,1.0,0.0,0.571428571428571,0.307692307692308,0.258064516129032,0.482758620689655,0.68,0.724137931034483,0.818181818181818,0.756756756756757,0.715909090909091,0.720588235294118,0.719298245614035,0.621212121212121,0.7
HK0000069689,AIA Group,,,,0.5,0.75,0.666666666666667,0.642857142857143,0.695652173913043,0.84375,0.758620689655172,0.631578947368421,0.804347826086957,0.770833333333333,0.668103448275862,0.707446808510638,0.692546583850932,0.695530726256983,0.696517412935323
IE00BF0L3536,AIB Merchant Services,,,,,,,,0.0,0.0,1.0,,1.0,1.0,0.5,0.4,0.666666666666667,0.685714285714286,0.642857142857143
TH0268010Z03,AIS,,,,1.0,0.666666666666667,,0.25,0.75,1.0,0.833333333333333,0.625,1.0,0.666666666666667,0.833333333333333,0.857142857142857,0.5,0.5,0.875
JP3102000001,AISIN Group,1.0,1.0,1.0,,1.0,0.333333333333333,0.583333333333333,0.705882352941177,0.558823529411765,0.689655172413793,0.529411764705882,0.405405405405405,0.75,0.704225352112676,0.594594594594595,0.737704918032787,0.659574468085106,0.777777777777778
FR0010220475,ALSTOM,,1.0,0.705882352941177,0.75,0.784090909090909,0.745454545454545,0.719387755102041,0.764331210191083,0.669527896995708,0.694736842105263,0.826732673267327,0.77,0.814977973568282,0.799628942486085,0.786032689450223,0.777934936350778,0.781795511221945,0.771883289124668
US0079031078,AMD,0.445544554455446,0.365384615384615,0.594202898550725,0.481012658227848,0.502283105022831,0.555555555555556,0.517412935323383,0.490990990990991,0.738372093023256,0.739130434782609,0.803921568627451,0.866197183098592,0.851851851851852,0.886842105263158,0.884976525821596,0.833679833679834,0.871527777777778,0.795986622073579
US0311001004,AMETEK Programmable Power,,,,,,,,,,,,,0.0,0.0,1.0,0.4,0.5,0.666666666666667
US02665T3068,AMH,,,,,,0.25,0.1875,0.350877192982456,0.472222222222222,0.58,0.811594202898551,0.717948717948718,0.617647058823529,0.63265306122449,0.662337662337662,0.53125,0.533333333333333,0.470588235294118
KYG040111059,ANTA,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,
AU000000ANZ3,ANZ,1.0,0.5,0.714285714285714,0.578947368421053,0.706896551724138,0.637931034482759,0.682692307692308,0.774390243902439,0.613953488372093,0.698198198198198,0.797709923664122,0.792452830188679,0.834254143646409,0.844413012729844,0.830097087378641,0.828888888888889,0.79,0.709433962264151
AU000000APA1,APA,,,,,,1.0,,1.0,0.0,0.0,0.5,0.5,0.7,0.777777777777778,0.764705882352941,1.0,0.625,0.529411764705882
CNE100004C45,APT Research,,,,,,,,,,,,,1.0,0.7,0.555555555555556,0.4,0.5,0.818181818181818
CA00208D4084,ARC Resources,,,,,,1.0,,,1.0,1.0,1.0,0.5,1.0,1.0,0.875,0.333333333333333,0.75,1.0
TW0003711008,ASE Global,,,,,,,,,,,,,,,,0.0,0.0,0.5
JP3118000003,ASICS,,,,1.0,1.0,0.8,0.666666666666667,0.714285714285714,0.7,0.609756097560976,0.708333333333333,0.482758620689655,0.714285714285714,0.606060606060606,0.69,0.727272727272727,0.739130434782609,0.703703703703704
NL0000334118,ASM,,,,0.0,0.5,,1.0,0.666666666666667,0.3,0.285714285714286,0.363636363636364,0.619047619047619,0.583333333333333,0.463414634146341,0.823529411764706,0.67741935483871,0.626506024096386,0.183908045977011
NL0010273215,ASML,1.0,0.333333333333333,0.666666666666667,1.0,0.6,0.611111111111111,0.868421052631579,0.816901408450704,0.810810810810811,0.845360824742268,0.747474747474748,0.752066115702479,0.840236686390533,0.861111111111111,0.860240963855422,0.841491841491842,0.874074074074074,0.822966507177033
TW0002357001,ASUS,0.0,1.0,0.666666666666667,0.333333333333333,0.619047619047619,0.464285714285714,0.535714285714286,0.603448275862069,0.642857142857143,0.595505617977528,0.529411764705882,0.538461538461538,0.75,0.721212121212121,0.678321678321678,0.646017699115044,0.675925925925926,0.555555555555556
AU000000ASX7,ASX,,,,,,,,,,0.0,0.0,0.5,1.0,1.0,0.25,0.416666666666667,0.478260869565217,0.333333333333333
US00206R1023,AT&T,0.368217054263566,0.404040404040404,0.421487603305785,0.462809917355372,0.547586206896552,0.576616474756422,0.635433494884222,0.609874152952565,0.630667506297229,0.638439581351094,0.587841072283389,0.557757370710488,0.61934856587263,0.625495900555409,0.64461738002594,0.572876616567634,0.541149425287356,0.508298755186722
INE949L01017,AU Small Finance Bank,,,,,,,,,,0.666666666666667,0.94980694980695,0.707317073170732,0.51063829787234,0.852201257861635,0.590361445783133,0.899408284023669,0.525773195876289,0.475409836065574
TW0002409000,AUO Crystal,,,,,,,,,,,,,,0.666666666666667,1.0,1.0,,
FR0000120628,AXA,1.0,1.0,0.384615384615385,0.4,0.733333333333333,0.60655737704918,0.609090909090909,0.696774193548387,0.666666666666667,0.754237288135593,0.710526315789474,0.745535714285714,0.759381898454746,0.765644171779141,0.784496124031008,0.795761078998073,0.798804780876494,0.736434108527132
US00287Y1091,AbbVie,,,,,,0.696969696969697,0.656716417910448,0.762820512820513,0.698744769874477,0.752631578947368,0.808383233532934,0.760869565217391,0.758064516129032,0.764264264264264,0.753333333333333,0.764705882352941,0.759825327510917,0.778225806451613
US0028241000,Abbott,0.714285714285714,0.72,0.576271186440678,0.55421686746988,0.747126436781609,0.663265306122449,0.62,0.690807799442897,0.712328767123288,0.673123486682809,0.707729468599034,0.649590163934426,0.76,0.737024221453287,0.73621103117506,0.681902985074627,0.711174242424242,0.690518783542039
ZAE000255915,Absa,,0.0,,,1.0,0.0,0.5,0.222222222222222,0.666666666666667,0.583333333333333,0.636363636363636,0.697674418604651,0.714285714285714,0.786764705882353,0.820809248554913,0.850574712643678,0.780141843971631,0.770833333333333
AEA000801018,Abu Dhabi Islamic Bank,,,,,0.5,1.0,0.666666666666667,0.625,0.888888888888889,0.833333333333333,0.416666666666667,0.571428571428571,0.538461538461538,0.516129032258065,0.733333333333333,0.67741935483871,0.75,0.625
CNE100000F87,Accelink Technologies,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,
IE00B4BNMY34,Accenture,0.761194029850746,0.762057877813505,0.723446893787575,0.764,0.82512315270936,0.82582081246522,0.768413338219128,0.800617919670443,0.811479635676233,0.821672885572139,0.816172355903749,0.814357301013868,0.811646862417755,0.836474312149988,0.847143098877545,0.795853156287723,0.76512607607302,0.721497054406838
ES0125220311,Acciona,,,,,0.166666666666667,0.2,0.25,0.533333333333333,0.75,0.76,0.636363636363636,0.857142857142857,0.735294117647059,0.7734375,0.696629213483146,0.8,0.905172413793103,0.762886597938144
FR0000120404,Accor,1.0,1.0,1.0,1.0,0.807692307692308,0.55,0.609756097560976,0.796875,0.826086956521739,0.822916666666667,0.788177339901478,0.789137380191693,0.775510204081633,0.793168880455408,0.803874092009685,0.809756097560976,0.805418719211823,0.808080808080808
TW0002345006,Accton Technology,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.5,,0.0,1.0,0.5,0.25,0.833333333333333,0.833333333333333,
TW0002353000,Acer Group,,,0.0,0.5,0.555555555555556,0.5,0.5,0.46875,0.608695652173913,0.576923076923077,0.695652173913043,0.82,0.894736842105263,0.652173913043478,0.764705882352941,0.84375,0.80952380952381,0.555555555555556
SA15CGS10H12,Acwa Power,,,,,,,,,0.5,0.0,0.75,0.833333333333333,1.0,0.444444444444444,0.611111111111111,0.666666666666667,0.833333333333333,0.8
INE423A01024,Adani Infra,,,,,1.0,1.0,,,1.0,1.0,0.0,,,0.5,0.666666666666667,1.0,0.727272727272727,0.5
INE742F01042,Adani Ports and Special Economic Zone Limited (APSEZ),,,,,1.0,,1.0,0.666666666666667,1.0,1.0,0.769230769230769,0.933333333333333,0.9,0.636363636363636,0.764705882352941,0.631578947368421,0.724137931034483,0.444444444444444
INE814H01011,Adani Power,,,,,0.777777777777778,1.0,1.0,0.8,0.8,0.916666666666667,0.884615384615385,0.892857142857143,0.655172413793103,0.744186046511628,0.852941176470588,0.576923076923077,0.520833333333333,0.727272727272727
SE0014781795,Addtech,,,,,,,1.0,,,,,0.666666666666667,,1.0,1.0,1.0,1.0,
GB00B02J6398,Admiral Group,,,0.0,,,1.0,0.6,0.5,0.571428571428571,0.74468085106383,0.666666666666667,0.720930232558139,0.793650793650794,0.807692307692308,0.675675675675676,0.815533980582524,0.663461538461538,0.644736842105263
US00724F1012,Adobe,0.928571428571429,0.852459016393443,0.835294117647059,0.794520547945205,0.821782178217822,0.849056603773585,0.822784810126582,0.859770114942529,0.881057268722467,0.869902912621359,0.893709327548807,0.880478087649402,0.869932432432432,0.922428330522766,0.89616935483871,0.8671875,0.838316722037652,0.822485207100592
