Company ISIN,Company Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CNE1000010N2,37 Interactive,,,,,,,,,,,,,,,3.0,1.0,5.0,
US88579Y1010,3M do Brasil,,,,,,,,,,,,,,,,3.5,4.625,3.625
GB00B1YW4409,3i Group,3.0,,,3.25,2.33333333333333,,3.0,,3.5,3.0,4.0,4.0,5.0,3.66666666666667,4.0,3.6,4.0,3.0
US0378331005,A is for Apple,,,,,,1.5,1.625,2.07142857142857,2.0,3.72222222222222,2.42857142857143,,3.33333333333333,2.66666666666667,2.85714285714286,5.0,5.0,
KYG2953R1149,AAC,,,,,,,1.5,,4.0,3.0,3.0,4.0,5.0,3.0,3.25,2.0,3.8,4.0
INE117A01022,ABB,3.64285714285714,3.36363636363636,3.375,3.18181818181818,3.28767123287671,3.08552631578947,3.00966183574879,2.93604651162791,3.0983606557377,3.13461538461538,3.03696498054475,3.20926756352765,3.36781609195402,3.39878234398782,3.51748807631161,3.6193853427896,3.52537313432836,3.51805054151624
CH0012221716,ABB,3.64285714285714,3.36363636363636,3.375,3.18181818181818,3.28767123287671,3.08552631578947,3.00966183574879,2.93604651162791,3.0983606557377,3.13461538461538,3.03696498054475,3.20926756352765,3.36781609195402,3.39878234398782,3.51748807631161,3.57600827300931,3.52537313432836,3.51805054151624
NL0011540547,ABN AMRO,2.5,2.83333333333333,3.3125,2.38888888888889,3.13636363636364,3.33333333333333,2.8,3.0,3.33898305084746,3.0,2.95348837209302,3.39795918367347,3.3921568627451,3.56565656565657,3.22368421052632,3.42622950819672,3.4037558685446,3.21698113207547
CNE100004ZD8,ACM Research,,,,,,,,,,,,,,3.0,,,,
AEA006101017,ADCO,,,,5.0,3.0,1.4,2.4,1.0,2.54545454545454,3.11111111111111,3.41666666666667,2.875,3.33333333333333,3.875,4.33333333333333,3.63636363636364,3.33333333333333,
SA55SG6H5716,ADES International Holding,,,,,,,,,,,1.0,,4.0,,4.0,2.75,2.0,
AEA007301012,ADNOC Group,1.0,,,2.33333333333333,3.75,3.5,2.0,3.6,3.47619047619048,3.72,3.19354838709677,3.65,3.6969696969697,3.64238410596026,3.72903225806452,3.53378378378378,3.96078431372549,3.76923076923077
