Yearly_Salary,job_category
254,"Data Scientist"
237.5,"Data Scientist"
232.5,"Data Scientist"
225,"Data Scientist"
221.5,"Data Scientist"
205,"Data Engineer"
194.5,"Data Analyst"
194,"Data Scientist"
184.5,"Data Scientist"
181,"Data Engineer"
180,"Data Scientist"
179.5,"Data Scientist"
177,"Data Engineer"
174,"Data Scientist"
173,"Data Scientist"
173,"Data Analyst"
172,"Data Scientist"
172,"Data Scientist"
171.5,"Data Scientist"
169,"Data Analyst"
169,"Data Scientist"
168,"Data Scientist"
167.5,"Data Scientist"
167.5,"Data Scientist"
165,"Data Scientist"
164.5,"Data Scientist"
164,"Data Scientist"
163.5,"Data Scientist"
163,"Data Scientist"
162.5,"Data Engineer"
162,"Data Engineer"
162,"Data Engineer"
161.5,"Data Scientist"
161.5,"Data Scientist"
157,"Data Scientist"
155,"Data Scientist"
155,"Data Scientist"
154.5,"Data Scientist"
154.5,"Data Scientist"
154.5,"Data Engineer"
153.5,"Data Scientist"
153,"Data Scientist"
153,"Data Scientist"
151.5,"Data Scientist"
150.5,"Data Engineer"
150.5,"Data Scientist"
149.5,"Data Engineer"
148,"Data Scientist"
147.5,"Data Scientist"
147.5,"Data Scientist"
147,"Data Scientist"
147,"Data Scientist"
147,"Data Scientist"
146.5,"Data Scientist"
146,"Data Engineer"
145.5,"Data Scientist"
145,"Data Scientist"
143.5,"Data Scientist"
143,"Data Scientist"
142.5,"Data Analyst"
142.5,"Data Scientist"
142,"Data Scientist"
142,"Data Scientist"
140.5,"Data Scientist"
140,"Data Scientist"
140,"Data Scientist"
140,"Data Scientist"
140,"Data Scientist"
140,"Data Scientist"
139.5,"Data Scientist"
139.5,"Data Scientist"
139.5,"Data Scientist"
139,"Data Scientist"
139,"Data Scientist"
139,"Data Engineer"
138.5,"Data Engineer"
138.5,"Data Analyst"
137.5,"Data Engineer"
137,"Data Scientist"
134.5,"Data Scientist"
134,"Data Engineer"
133.5,"Data Scientist"
133,"Data Scientist"
133,"Data Scientist"
132.5,"Data Scientist"
132.5,"Data Engineer"
132.5,"Data Scientist"
130,"Data Scientist"
130,"Data Scientist"
129.5,Other
128.5,"Data Scientist"
128.5,"Data Scientist"
128,"Data Scientist"
128,"Data Scientist"
127.5,"Data Scientist"
127,"Data Scientist"
125,"Data Scientist"
125,"Data Engineer"
124.5,"Data Scientist"
124.5,"Data Scientist"
124,"Data Scientist"
124,"Data Scientist"
124,"Data Scientist"
123.5,"Data Scientist"
123.5,"Data Analyst"
122.5,"Data Engineer"
122,"Data Engineer"
122,"Data Scientist"
121.5,"Data Analyst"
121,"Data Scientist"
121,"Data Analyst"
121,"Data Scientist"
121,"Data Scientist"
120.5,"Data Scientist"
120.5,"Data Scientist"
120,"Data Analyst"
120,"Data Scientist"
120,"Data Scientist"
120,"Data Scientist"
119.5,"Data Scientist"
119,"Data Scientist"
118.5,"Data Engineer"
118,"Data Scientist"
117.5,"Data Scientist"
117.5,"Data Scientist"
116.5,"Data Scientist"
116.5,"Data Scientist"
115.5,"Data Engineer"
115,"Data Scientist"
114.5,"Data Scientist"
114.5,"Data Scientist"
114.5,"Data Scientist"
114.5,"Data Analyst"
114.5,"Data Scientist"
114,"Data Scientist"
114,"Data Engineer"
113.5,"Data Scientist"
113,"Data Engineer"
112.5,"Data Scientist"
112.5,"Data Scientist"
112.5,"Data Engineer"
112,"Data Scientist"
111.5,"Data Scientist"
111.5,"Data Analyst"
111,"Data Engineer"
110.5,"Data Engineer"
110.5,"Data Scientist"
110.5,"Data Engineer"
110,"Data Scientist"
110,"Data Scientist"
109.5,"Data Scientist"
109.5,"Data Analyst"
109,"Data Scientist"
109,"Data Engineer"
109,"Data Engineer"
108,"Data Engineer"
108,"Data Scientist"
107.5,"Data Scientist"
107.5,"Data Engineer"
107.5,"Data Engineer"
107.5,"Data Scientist"
107.5,"Data Analyst"
107,"Data Scientist"
107,"Data Scientist"
107,"Data Scientist"
107,"Data Engineer"
107,"Data Engineer"
106.5,Other
106.5,"Data Engineer"
106.5,"Data Engineer"
106.5,"Data Analyst"
106.5,"Data Scientist"
106,"Data Analyst"
106,"Data Engineer"
105.5,"Data Scientist"
105.5,"Data Scientist"
105.5,"Data Engineer"
105,"Data Scientist"
104.5,"Data Scientist"
104.5,"Data Scientist"
